번호,일주,한글명,압축유형,핵심성정,겉성격,속기질,강점기질,그림자기질
1,甲子,갑자일주,차분한 이상가,지성 · 신중함 · 이상주의 · 감수성 · 자존심,점잖음 · 차분함 · 관찰형 · 이성적,불안 · 기억 집착 · 인정 욕구 · 외로움,학습력 · 기획력 · 통찰 · 집중,생각 과다 · 행동 지연 · 의심 · 냉정한 단절
2,乙丑,을축일주,끈질긴 실리형,유연함 · 인내 · 실속 · 신중함 · 생활 감각,부드러움 · 말수 적음 · 점잖음 · 조심성,손실 공포 · 미련 · 계산성 · 경계심,축적력 · 현실 감각 · 절약 · 지속력,속앓이 · 변화 저항 · 뒤끝 · 관계 경직
3,丙寅,병인일주,선두에 서는 개척형,활력 · 자신감 · 개척성 · 주도성 · 낙관,밝음 · 말 빠름 · 적극성 · 당당함,명예욕 · 인정 갈망 · 조급함 · 자존심,리더십 · 설득력 · 추진력 · 선도력,과신 · 성급함 · 독선 · 마무리 약화
4,丁卯,정묘일주,섬세한 감성형,감수성 · 심미성 · 예민함 · 친화성 · 내밀함,차분함 · 부드러움 · 단정함 · 세련됨,상처 민감 · 질투 · 인정 욕구 · 관계 불안,미감 · 공감력 · 표현력 · 정밀함,속앓이 · 과민 반응 · 관계 시험 · 감정 소모
5,戊辰,무진일주,영역을 지키는 대장형,중후함 · 책임감 · 영역 의식 · 현실성 · 야심,묵직함 · 침착함 · 권위감 · 단단함,통제욕 · 소유욕 · 완고함 · 숨은 욕심,관리력 · 버팀 · 조직력 · 위기 수습,독단 · 손절 지연 · 감정 폭발 · 고립
6,己巳,기사일주,웃으며 계산하는 실무형,기민함 · 실리 · 친화성 · 세련됨 · 조율력,친절함 · 눈치 빠름 · 유연함 · 사교적,성과 욕구 · 비교 의식 · 은근한 통제 · 초조함,기획력 · 운영력 · 상황 판단 · 말 센스,이중성 · 냉소 · 불만 축적 · 관계 조종
7,庚午,경오일주,명예를 거는 승부형,승부욕 · 결단력 · 자존심 · 정의감 · 열정,강직함 · 직설적 · 당당함 · 강한 존재감,패배 불안 · 명예욕 · 분노 · 인정 갈망,통솔력 · 위기 대응 · 결단 · 추진력,공격성 · 체면 집착 · 관계 충돌 · 욱함
8,辛未,신미일주,높은 기준의 완벽형,정밀함 · 품위 · 신중함 · 심미성 · 책임감,단정함 · 차분함 · 예의 · 선택적 친화,의심 · 비교 · 상처 민감 · 자기 가치 집착,안목 · 완성도 · 분석력 · 지속력,완벽 강박 · 까다로움 · 잔걱정 · 관계 냉각
9,壬申,임신일주,빠르게 판을 읽는 전략형,기민함 · 자유성 · 전략성 · 적응력 · 야심,재치 · 사교적 · 빠른 판단 · 대범함,권태 · 불신 · 큰 욕망 · 정착 거부,기회 포착 · 전환력 · 정보 감각 · 협상력,기회주의 · 산만함 · 책임 회피 · 신뢰 약화
10,癸酉,계유일주,조용한 비평가형,예민함 · 분별력 · 심미성 · 관찰력 · 선택성,차분함 · 단정함 · 말수 적음 · 세련됨,비교 의식 · 고독감 · 상처 민감 · 의심,안목 · 언어 감각 · 정밀함 · 통찰,비판성 · 과도한 추측 · 냉소 · 자존심 과민
11,甲戌,갑술일주,이상과 소유를 함께 좇는 형,원칙성 · 개척성 · 야심 · 의리 · 현실 욕구,호방함 · 강직함 · 주도적 · 중후함,소유욕 · 명예욕 · 완고함 · 경계심,조직력 · 사업 감각 · 책임감 · 장기 추진,손절 지연 · 훈계성 · 독선 · 체면 집착
12,乙亥,을해일주,부드럽고 깊은 공감형,감수성 · 유연함 · 상상력 · 공감성 · 적응력,온화함 · 친절함 · 수용적 · 낭만적,외로움 · 이상화 · 관계 의존 · 경계 약화,언어 감각 · 공감력 · 창의성 · 회복력,현실 회피 · 희생 집착 · 우유부단 · 감정 침잠
13,丙子,병자일주,밝은 얼굴의 긴장형,표현성 · 사회성 · 지성 · 자존심 · 기민함,활발함 · 당당함 · 사교적 · 밝은 인상,평가 불안 · 외로움 · 감정 기복 · 인정 갈망,설득력 · 공적 표현 · 기획력 · 상황 대응,과민 반응 · 체면 집착 · 통제성 · 감정 과열
14,丁丑,정축일주,조용히 버티는 축적형,인내 · 집중 · 신중함 · 정서적 깊이 · 보수성,과묵함 · 차분함 · 조심성 · 성실함,분노 축적 · 걱정 · 미련 · 손실 공포,집중력 · 기술성 · 지속력 · 정밀함,속앓이 · 갑작스런 폭발 · 변화 저항 · 뒤끝
15,戊寅,무인일주,압박에서 강해지는 통솔형,대담함 · 책임감 · 개척성 · 통제력 · 승부욕,묵직함 · 강단 · 적극성 · 보호자 기질,인정 욕구 · 강함 강박 · 조급함 · 경쟁심,통솔력 · 위기 대응 · 추진력 · 조직력,강압성 · 과잉 책임 · 독선 · 감정 둔감
16,己卯,기묘일주,부드럽게 맞추는 긴장형,친화성 · 세심함 · 책임감 · 눈치 · 관계성,예의 바름 · 부드러움 · 무난함 · 배려,거절 불안 · 미움받기 두려움 · 서운함 · 비교 의식,조율력 · 돌봄 · 관리력 · 관계 감각,자기 억압 · 수동적 불만 · 간섭 · 감정 누적
17,庚辰,경진일주,기준을 세우는 권위형,강직함 · 결단력 · 야심 · 현실성 · 자기 확신,단호함 · 냉정함 · 중후함 · 권위감,명예욕 · 복수심 · 통제욕 · 의심,전략성 · 기술성 · 위기 수습 · 판단력,독단 · 냉혹함 · 손절 지연 · 권력 충돌
18,辛巳,신사일주,세련된 긴장형,정교함 · 세련됨 · 야심 · 평판 의식 · 집중력,예의 바름 · 말 센스 · 단정함 · 사회적 감각,비교 · 평가 불안 · 자기 가치 집착 · 질투,완성도 · 협상력 · 미감 · 정밀한 판단,완벽 강박 · 체면 집착 · 속앓이 · 관계 계산
19,壬午,임오일주,욕망이 큰 활동형,활동성 · 사교성 · 대범함 · 감정성 · 자유 욕구,호방함 · 밝음 · 말 많음 · 친화적,소유욕 · 인정 욕구 · 외로움 · 권태,대인 영향력 · 확장성 · 추진력 · 기회 감각,욕망 분산 · 과소비 · 감정 과열 · 책임 약화
