index,month_branch,day_pillar,primary_trait,secondary_manifestation,keyword
1,子,甲子,신중한 자기주도형,,신중한 자기주도형
2,子,乙丑,차분한 관계조율형,,차분한 관계조율형
3,子,丙寅,절제된 추진형,,절제된 추진형
4,子,丁卯,깊이 있는 감정표현형,,깊이 있는 감정표현형
5,子,戊辰,신중한 운영형,,신중한 운영형
6,子,己巳,안정적인 실무형,,안정적인 실무형
7,子,庚午,빠른 실행결단형,,빠른 실행결단형
8,子,辛未,신중한 가치관리형,,신중한 가치관리형
9,子,壬申,깊이 있는 정보전략형,,깊이 있는 정보전략형
10,子,癸酉,섬세한 관찰분석형,,섬세한 관찰분석형
11,子,甲戌,신중한 원칙개척형,,신중한 원칙개척형
12,子,乙亥,차분한 관계공감형,,차분한 관계공감형
13,子,丙子,절제된 표현준비형,,절제된 표현준비형
14,子,丁丑,깊이 있는 감정관리형,,깊이 있는 감정관리형
15,子,戊寅,신중한 기반구축형,,신중한 기반구축형
16,子,己卯,안정적인 관계관리형,,안정적인 관계관리형
17,子,庚辰,빠른 구조해결형,,빠른 구조해결형
18,子,辛巳,신중한 가치표현형,,신중한 가치표현형
19,子,壬午,깊이 있는 영향전략형,,깊이 있는 영향전략형
20,子,癸未,섬세한 의미정리형,,섬세한 의미정리형
21,子,甲申,신중한 기회판단형,,신중한 기회판단형
22,子,乙酉,차분한 관계판단형,,차분한 관계판단형
23,子,丙戌,절제된 책임표현형,,절제된 책임표현형
24,子,丁亥,깊이 있는 감정이해형,,깊이 있는 감정이해형
25,子,戊子,신중한 현실설계형,,신중한 현실설계형
26,子,己丑,안정적인 관리형,,안정적인 관리형
27,子,庚寅,빠른 실행추진형,,빠른 실행추진형
28,子,辛卯,신중한 표현기준형,,신중한 표현기준형
29,子,壬辰,깊이 있는 상황분석형,,깊이 있는 상황분석형
30,子,癸巳,섬세한 설득형,,섬세한 설득형
31,子,甲午,신중한 자기확장형,,신중한 자기확장형
32,子,乙未,차분한 관계지속형,,차분한 관계지속형
33,子,丙申,절제된 표현전략형,,절제된 표현전략형
34,子,丁酉,깊이 있는 감정정리형,,깊이 있는 감정정리형
35,子,戊戌,신중한 책임관리형,,신중한 책임관리형
36,子,己亥,안정적인 현실조율형,,안정적인 현실조율형
37,子,庚子,빠른 판단결단형,,빠른 판단결단형
38,子,辛丑,신중한 기준관리형,,신중한 기준관리형
39,子,壬寅,깊이 있는 사고확장형,,깊이 있는 사고확장형
40,子,癸卯,섬세한 관찰형,,섬세한 관찰형
41,子,甲辰,신중한 개척설계형,,신중한 개척설계형
42,子,乙巳,차분한 관계표현형,,차분한 관계표현형
43,子,丙午,절제된 주도표현형,,절제된 주도표현형
44,子,丁未,깊이 있는 감정운영형,,깊이 있는 감정운영형
45,子,戊申,신중한 구조개선형,,신중한 구조개선형
46,子,己酉,안정적인 실무정리형,,안정적인 실무정리형
47,子,庚戌,빠른 실행관리형,,빠른 실행관리형
48,子,辛亥,신중한 가치이해형,,신중한 가치이해형
49,子,壬子,깊이 있는 정보감각형,,깊이 있는 정보감각형
50,子,癸丑,섬세한 직관관리형,,섬세한 직관관리형
51,子,甲寅,신중한 주도실행형,,신중한 주도실행형
52,子,乙卯,차분한 관계확장형,,차분한 관계확장형
53,子,丙辰,절제된 표현설계형,,절제된 표현설계형
54,子,丁巳,깊이 있는 집중표현형,,깊이 있는 집중표현형
55,子,戊午,신중한 운영주도형,,신중한 운영주도형
56,子,己未,안정적인 조율형,,안정적인 조율형
57,子,庚申,빠른 문제해결형,,빠른 문제해결형
58,子,辛酉,신중한 가치판단형,,신중한 가치판단형
59,子,壬戌,깊이 있는 장기전략형,,깊이 있는 장기전략형
60,子,癸亥,섬세한 통찰형,,섬세한 통찰형
61,丑,甲子,꾸준한 자기주도형,,꾸준한 자기주도형
62,丑,乙丑,꾸준한 관계조율형,,꾸준한 관계조율형
63,丑,丙寅,차분한 추진형,,차분한 추진형
64,丑,丁卯,차분한 감정표현형,,차분한 감정표현형
65,丑,戊辰,안정적인 운영형,,안정적인 운영형
66,丑,己巳,현실적인 실무형,,현실적인 실무형
67,丑,庚午,끈기 있는 실행결단형,,끈기 있는 실행결단형
68,丑,辛未,안목 있는 가치관리형,,안목 있는 가치관리형
69,丑,壬申,신중한 정보전략형,,신중한 정보전략형
70,丑,癸酉,차분한 관찰분석형,,차분한 관찰분석형
71,丑,甲戌,꾸준한 원칙개척형,,꾸준한 원칙개척형
72,丑,乙亥,꾸준한 관계공감형,,꾸준한 관계공감형
73,丑,丙子,차분한 표현준비형,,차분한 표현준비형
74,丑,丁丑,차분한 감정관리형,,차분한 감정관리형
75,丑,戊寅,안정적인 기반구축형,,안정적인 기반구축형
76,丑,己卯,현실적인 관계관리형,,현실적인 관계관리형
77,丑,庚辰,끈기 있는 구조해결형,,끈기 있는 구조해결형
78,丑,辛巳,안목 있는 가치표현형,,안목 있는 가치표현형
79,丑,壬午,신중한 영향전략형,,신중한 영향전략형
80,丑,癸未,차분한 의미정리형,,차분한 의미정리형
81,丑,甲申,꾸준한 기회판단형,,꾸준한 기회판단형
82,丑,乙酉,꾸준한 관계판단형,,꾸준한 관계판단형
83,丑,丙戌,차분한 책임표현형,,차분한 책임표현형
84,丑,丁亥,차분한 감정이해형,,차분한 감정이해형
85,丑,戊子,안정적인 현실설계형,,안정적인 현실설계형
86,丑,己丑,현실적인 관리형,,현실적인 관리형
87,丑,庚寅,끈기 있는 실행추진형,,끈기 있는 실행추진형
88,丑,辛卯,안목 있는 표현기준형,,안목 있는 표현기준형
89,丑,壬辰,신중한 상황분석형,,신중한 상황분석형
90,丑,癸巳,차분한 설득형,,차분한 설득형
91,丑,甲午,꾸준한 자기확장형,,꾸준한 자기확장형
92,丑,乙未,꾸준한 관계지속형,,꾸준한 관계지속형
93,丑,丙申,차분한 표현전략형,,차분한 표현전략형
94,丑,丁酉,차분한 감정정리형,,차분한 감정정리형
95,丑,戊戌,안정적인 책임관리형,,안정적인 책임관리형
96,丑,己亥,현실적인 조율형,,현실적인 조율형
97,丑,庚子,끈기 있는 판단결단형,,끈기 있는 판단결단형
98,丑,辛丑,안목 있는 기준관리형,,안목 있는 기준관리형
99,丑,壬寅,신중한 사고확장형,,신중한 사고확장형
