번호,일간,월령,한글명,월령본기십신,압축유형,핵심성정,겉성격,속기질,강점기질,그림자기질
1,甲,寅,갑목 인월,비견,초기 돌파형 개척자,곧음 · 개척성 · 시작성 · 돌파성 · 자기중심 · 독립,당당함 · 직선적 · 빠른 출발 · 적극성,인정욕구 · 초조함 · 조급함 · 미숙한 자신감 · 양보 거부,추진력 · 선도력 · 초기 추진 · 개척 · 자립,독선 · 과잉 확장 · 성급함 · 과신 · 고집
2,甲,卯,갑목 묘월,겁재,관계 확장형 개척자,개척성 · 성장욕 · 확장성 · 관계성 · 대중성 · 사람 욕구,직선적 · 주도적 · 친화적 · 세련됨 · 활동적,초조함 · 이상주의 · 질투 · 비교 · 빼앗김 불안,선도력 · 기획력 · 대인 감각 · 네트워크,과잉 확장 · 손절 지연 · 관계 소모 · 질투 · 충동
3,甲,辰,갑목 진월,편재,현실 설계형 개척자,성장욕 · 자기확신 · 복합성 · 현실화 · 활동 범위 · 외향성,주도적 · 솔직함 · 신중함 · 계획성 · 사교적,이상주의 · 완고함 · 모순 · 미련 · 권태,기획력 · 지속 의지 · 기획 정리 · 자원 결합 · 사업 감각,손절 지연 · 훈계성 · 복잡함 · 우유부단 · 과소비
4,甲,巳,갑목 사월,식신,기민한 야심형 개척자,자기확신 · 독립심 · 기민함 · 야심 · 여유 · 생산성,솔직함 · 선명한 태도 · 재치 · 빠른 말 · 편안함,완고함 · 뒤처짐에 대한 불안 · 질투 · 초조함 · 안정 욕구,지속 의지 · 사람을 키우는 힘 · 순발력 · 설득 · 창작,훈계성 · 타협 부족 · 과열 · 이중성 · 안일함
5,甲,午,갑목 오월,상관,강한 존재감형 개척자,독립심 · 큰 방향 · 열정 · 존재감 · 반항성 · 비판성,선명한 태도 · 당당함 · 화려함 · 직설적 · 재치,뒤처짐에 대한 불안 · 인정욕구 · 인정 갈망 · 질투 · 권위 반감,사람을 키우는 힘 · 추진력 · 리더십 · 표현력 · 언변,타협 부족 · 독선 · 과열 · 독단 · 말실수
6,甲,未,갑목 미월,정재,생활 책임형 개척자,큰 방향 · 곧음 · 돌봄성 · 생활성 · 소유 의식 · 실속,당당함 · 직선적 · 온화함 · 배려 · 성실함,인정욕구 · 초조함 · 서운함 · 소유욕 · 생활 집착,추진력 · 선도력 · 돌봄 · 지속 · 관리,독선 · 과잉 확장 · 희생 집착 · 잔소리 · 보수성
7,甲,申,갑목 신월,편관,실전 적응형 개척자,곧음 · 개척성 · 실전성 · 기민함 · 긴장감 · 승부욕,직선적 · 주도적 · 빠른 판단 · 현실적 · 강단,초조함 · 이상주의 · 불신 · 생존 본능 · 압박감,선도력 · 기획력 · 문제 해결 · 적응 · 위기 대응,과잉 확장 · 손절 지연 · 기회주의 · 냉정함 · 공격성
8,甲,酉,갑목 유월,정관,완성도 집착형 개척자,개척성 · 성장욕 · 정교함 · 완성도 · 책임 · 평판 의식,주도적 · 솔직함 · 단정함 · 세련됨,이상주의 · 완고함 · 비교 · 상처 민감 · 체면,기획력 · 지속 의지 · 안목 · 분별 · 규율,손절 지연 · 훈계성 · 까다로움 · 비판 · 경직
9,甲,戌,갑목 술월,편재,원칙 고수형 개척자,성장욕 · 자기확신 · 원칙성 · 충성심 · 활동 범위 · 외향성,솔직함 · 선명한 태도 · 강직함 · 무게감 · 사교적,완고함 · 뒤처짐에 대한 불안 · 분노 축적 · 고독 · 권태,지속 의지 · 사람을 키우는 힘 · 책임 · 의리 · 사업 감각,훈계성 · 타협 부족 · 독선 · 완고함 · 과소비
10,甲,亥,갑목 해월,편인,감성 유랑형 개척자,자기확신 · 독립심 · 감수성 · 자유성 · 직관 · 독특성,선명한 태도 · 당당함 · 부드러움 · 유연함 · 신비감,뒤처짐에 대한 불안 · 인정욕구 · 외로움 · 현실 회피 · 고독,사람을 키우는 힘 · 추진력 · 직관 · 창의성 · 통찰,타협 부족 · 독선 · 감정 의존 · 방황 · 현실 회피
11,甲,子,갑목 자월,정인,내면 계산형 개척자,독립심 · 큰 방향 · 지성 · 은밀함 · 보호성 · 사려 깊음,당당함 · 직선적 · 차분함 · 빠른 두뇌 · 온화함,인정욕구 · 초조함 · 불안 · 질투 · 걱정,추진력 · 선도력 · 정보 감각 · 기억력 · 학습,독선 · 과잉 확장 · 의심 · 이중성 · 생각 과다
12,甲,丑,갑목 축월,정재,축적 인내형 개척자,큰 방향 · 곧음 · 인내 · 저장성 · 소유 의식 · 실속,직선적 · 주도적 · 느림 · 묵묵함 · 성실함,초조함 · 이상주의 · 걱정 · 원망 축적 · 생활 집착,선도력 · 기획력 · 축적 · 버팀 · 관리,과잉 확장 · 손절 지연 · 변화 저항 · 속앓이 · 보수성
13,乙,寅,을목 인월,겁재,초기 돌파형 조율자,유연함 · 관계 감각 · 돌파성 · 개척성 · 대중성 · 사람 욕구,부드러움 · 예의 바름 · 적극성 · 선점 욕구 · 활동적,경쟁심 · 질투심 · 미숙한 자신감 · 앞서가려는 마음 · 빼앗김 불안,조율력 · 미감 · 개척 · 용기 · 네트워크,우회성 · 거절 지연 · 과신 · 마무리 약화 · 충동
14,乙,卯,을목 묘월,비견,관계 확장형 조율자,관계 감각 · 적응력 · 관계성 · 미감 · 동등 의식 · 자기중심,예의 바름 · 눈치 빠름 · 세련됨 · 활발한 교류 · 당당함,질투심 · 선택받고 싶은 마음 · 비교 · 소유욕 · 양보 거부,미감 · 세밀함 · 네트워크 · 심미성 · 자립,거절 지연 · 관계 의존 · 질투 · 분산 · 고집
15,乙,辰,을목 진월,정재,현실 설계형 조율자,적응력 · 생존력 · 현실화 · 축적성 · 실속 · 안정,눈치 빠름 · 완곡함 · 계획성 · 중후함 · 성실함,선택받고 싶은 마음 · 예민함 · 미련 · 욕심 · 생활 집착,세밀함 · 협상력 · 자원 결합 · 현실 감각 · 관리,관계 의존 · 비교 의식 · 우유부단 · 집착 · 보수성
16,乙,巳,을목 사월,상관,기민한 야심형 조율자,생존력 · 세련됨 · 야심 · 표현성 · 반항성 · 비판성,완곡함 · 친근함 · 빠른 말 · 사회적 감각 · 재치,예민함 · 관계 불안 · 초조함 · 숨은 경쟁 · 권위 반감,협상력 · 환경 적응 · 설득 · 집중 · 언변,비교 의식 · 속앓이 · 이중성 · 조급함 · 말실수
17,乙,午,을목 오월,식신,강한 존재감형 조율자,세련됨 · 선택적 친화 · 존재감 · 자존심 · 낙천성 · 여유,친근함 · 부드러움 · 직설적 · 활발함 · 편안함,관계 불안 · 경쟁심 · 질투 · 외로움 · 안정 욕구,환경 적응 · 조율력 · 표현력 · 추진 · 창작,속앓이 · 우회성 · 독단 · 감정 폭발 · 안일함
